PERIODO;CALCULADO
201912;2464
201911;2514
201910;2598
201909;2608
201908;2609
201907;2615
201906;2658
201905;2686
201904;2703
201903;2713
201902;2714
201901;2716
201812;2713
201811;2861
201810;2867
201809;3047
201808;3049
201807;3048
201806;3042
201805;3036
201804;3048
201803;3060
201802;3057
201801;3075
201712;2744
201711;2740
201710;2733
201709;2731
201708;2726
201707;2717
201706;2740
201705;2733
201704;2728
201703;2722
201702;2717
201701;2548
201612;2543
201611;2533
201610;2524
201609;2506
201608;2466
201607;2416
201606;2350
201605;2274
201604;2161
201603;2078
201602;1974
201601;2168
201512;1958
201511;2104
201510;2474
201509;2814
201508;2896
201507;3334
201506;2072
201505;2390
201504;2760
201503;2932
201502;2704
201501;2497
201412;2567
201411;2563
201410;2552
201409;2545
201408;2540
201407;2533
201406;2525
201405;2525
201404;2507
201403;2499
201402;2494
201401;2485
201312;2476
201311;2468
201310;2460
201309;2457
201308;2444
201307;2440
201306;2431
201305;2428
201304;2422
201303;2415
201302;2407
201301;2673
201212;2660
201211;2657
201210;2648
201209;2640
201208;2624
201207;2620
201206;2606
201205;2856
201204;2588
201203;2573
201202;2551
201201;2535
201112;2520
201111;2518
201110;2509
201109;2493
201108;2486
201107;2469
201106;2452
201105;2441
201104;2432
201103;2425
201102;2403
201101;2399
201012;2177
201011;2167
201010;2154
201009;2149
201008;2142
201007;2127
201006;2125
201005;2113
201004;2108
201003;2103
201002;2089
201001;2079
